PERMNO,date,TICKER,RET
10107,2017-01-31,MSFT,0.040393
10107,2017-02-28,MSFT,-0.004331
10107,2017-03-31,MSFT,0.029384
10107,2017-04-28,MSFT,0.039478
10107,2017-05-31,MSFT,0.025854
10107,2017-06-30,MSFT,-0.013030
10107,2017-07-31,MSFT,0.054693
10107,2017-08-31,MSFT,0.033838
10107,2017-09-29,MSFT,-0.003745
10107,2017-10-31,MSFT,0.116660
10107,2017-11-30,MSFT,0.016951
10107,2017-12-29,MSFT,0.016277
10107,2018-01-31,MSFT,0.110708
10107,2018-02-28,MSFT,-0.008631
10107,2018-03-29,MSFT,-0.026661
10107,2018-04-30,MSFT,0.024652
10107,2018-05-31,MSFT,0.061377
10107,2018-06-29,MSFT,-0.002327
10107,2018-07-31,MSFT,0.075753
10107,2018-08-31,MSFT,0.062877
10107,2018-09-28,MSFT,0.018161
10107,2018-10-31,MSFT,-0.066101
10107,2018-11-30,MSFT,0.042505
10107,2018-12-31,MSFT,-0.084047
10107,2019-01-31,MSFT,0.028158
10107,2019-02-28,MSFT,0.077181
10107,2019-03-29,MSFT,0.052754
10107,2019-04-30,MSFT,0.107343
10107,2019-05-31,MSFT,-0.049464
10107,2019-06-28,MSFT,0.083118
10107,2019-07-31,MSFT,0.017244
10107,2019-08-30,MSFT,0.015044
10107,2019-09-30,MSFT,0.008487
10107,2019-10-31,MSFT,0.031216
10107,2019-11-29,MSFT,0.059427
10107,2019-12-31,MSFT,0.041749
10107,2020-01-31,MSFT,0.079455
10107,2020-02-28,MSFT,-0.045292
10107,2020-03-31,MSFT,-0.026541
10107,2020-04-30,MSFT,0.136326
10107,2020-05-29,MSFT,0.025389
10107,2020-06-30,MSFT,0.110559
10107,2020-07-31,MSFT,0.007371
10107,2020-08-31,MSFT,0.102580
10107,2020-09-30,MSFT,-0.067397
10107,2020-10-30,MSFT,-0.037370
10107,2020-11-30,MSFT,0.060058
10107,2020-12-31,MSFT,0.039006
10107,2021-01-29,MSFT,0.042892
10107,2021-02-26,MSFT,0.004225
10107,2021-03-31,MSFT,0.014588
